TOPIC0,TOPIC1,TOPIC2,TOPIC3,TOPIC4,TOPIC5,TOPIC6,TOPIC7,TOPIC8,TOPIC9,CLASSIFY
0,0,0,0,1,0,0,0,0,1,BUG
0,1,0,0,0,0,0,1,0,1,OTHER
0,1,0,0,1,0,1,1,0,1,BUG
0,0,0,0,0,0,0,1,1,0,IMPROVEMENT
0,0,0,1,0,0,1,1,0,0,RFE
0,0,0,1,0,0,1,1,0,0,RFE
0,0,0,0,0,0,1,1,0,1,BUG
0,0,0,1,0,0,0,1,0,0,BUG
1,0,1,0,0,0,0,1,0,0,RFE
1,0,1,0,0,0,1,1,0,0,RFE
0,1,0,0,0,0,1,0,0,0,BUG
0,0,0,0,0,0,0,1,1,1,IMPROVEMENT
0,0,1,0,0,0,0,1,0,0,IMPROVEMENT
1,0,1,1,0,0,0,0,0,0,BUG
0,1,0,0,0,0,0,1,0,0,OTHER
0,0,1,0,0,0,0,1,0,0,OTHER
0,1,1,1,0,0,0,1,0,1,BUG
0,0,1,0,0,0,1,1,0,0,BUG
0,0,0,1,0,0,0,0,0,1,IMPROVEMENT
0,0,1,0,0,0,1,1,0,0,OTHER
0,1,1,0,0,0,0,1,0,1,IMPROVEMENT
0,0,0,0,0,0,1,1,1,0,OTHER
0,0,0,0,0,0,0,1,1,0,OTHER
0,0,0,0,0,0,1,1,0,1,OTHER
0,0,1,0,0,0,1,0,0,0,BUG
1,1,0,0,0,0,1,1,0,1,BUG
0,0,0,0,0,0,0,1,0,0,REFACTORING
0,0,0,0,1,0,0,1,0,1,BUG
0,0,0,0,0,0,1,1,1,1,BUG
0,0,0,0,1,0,0,1,0,1,BUG
0,0,1,0,0,0,0,1,1,0,RFE
1,0,0,0,0,0,0,1,0,0,DOCUMENTATION
0,0,0,0,0,0,1,1,0,0,BUG
1,0,0,1,0,0,0,1,0,0,IMPROVEMENT
0,1,0,0,0,0,1,1,1,0,DOCUMENTATION
0,1,1,0,0,1,0,1,0,0,BUG
0,0,1,0,0,0,1,1,1,1,BUG
0,1,1,0,0,0,1,1,0,0,BUG
1,0,0,0,0,0,0,1,0,0,IMPROVEMENT
0,0,0,0,0,0,0,1,1,1,BUG
0,0,0,1,0,0,0,1,0,0,RFE
1,0,0,0,0,0,1,1,0,1,RFE
0,0,0,0,0,0,0,1,1,0,RFE
0,0,1,0,0,0,0,1,0,0,BUG
0,0,0,0,0,0,0,0,1,1,BUG
1,1,0,1,0,0,0,1,0,0,OTHER
1,0,1,1,0,0,1,1,0,0,OTHER
0,0,0,0,0,0,1,1,0,1,IMPROVEMENT
0,0,0,0,0,0,0,1,0,1,OTHER
0,0,0,0,0,0,0,1,0,1,RFE
0,0,1,0,0,0,0,1,0,1,RFE
0,0,0,1,0,0,1,1,0,0,RFE
1,0,0,1,0,0,0,1,1,0,BUG
0,1,0,0,0,0,1,1,0,1,BUG
0,0,0,0,0,0,0,1,1,0,BUG
0,0,0,0,0,0,0,1,1,1,BUG
0,0,0,0,0,0,0,1,0,1,OTHER
1,0,0,1,0,0,1,1,0,0,DOCUMENTATION
0,0,1,0,0,0,1,1,1,1,BUG
1,0,0,0,0,0,1,1,0,0,DOCUMENTATION
0,1,1,0,0,0,0,1,0,0,RFE
1,0,0,0,0,0,1,1,0,0,OTHER
0,1,0,0,0,0,0,1,0,0,BUG
0,0,0,1,0,0,0,1,0,1,BUG
0,1,0,0,0,0,1,1,0,0,BUG
0,0,0,1,0,0,0,1,0,1,OTHER
0,0,0,0,0,0,0,1,1,0,OTHER
0,0,0,0,0,0,1,1,1,0,RFE
0,0,0,1,1,1,0,0,0,0,IMPROVEMENT
0,0,0,0,0,0,0,0,0,1,IMPROVEMENT
0,0,1,0,0,0,0,1,0,1,IMPROVEMENT
0,0,1,0,0,0,1,1,0,0,IMPROVEMENT
0,0,1,0,0,0,0,1,0,0,REFACTORING
0,1,1,0,0,0,0,1,0,1,IMPROVEMENT
0,0,1,0,0,0,1,1,1,0,RFE
1,0,0,0,0,0,1,1,1,0,RFE
0,0,1,0,0,0,1,1,0,0,RFE
0,0,0,1,0,0,1,1,0,0,BUG
0,0,1,1,0,0,0,1,0,0,IMPROVEMENT
0,0,1,0,0,0,1,1,1,0,RFE
1,0,1,0,0,0,0,1,1,0,BUG
0,0,1,0,0,0,0,1,0,1,RFE
0,0,0,0,0,0,0,1,1,1,RFE
0,0,0,0,0,0,1,1,1,0,BUG
1,0,0,1,0,0,0,1,0,1,BUG
0,0,0,1,0,0,0,1,1,0,BUG
0,1,0,0,0,0,0,1,0,1,BUG
0,0,1,0,0,0,1,0,0,0,BUG
0,0,1,0,0,0,0,1,0,0,IMPROVEMENT
0,0,0,0,0,0,0,1,1,0,BUG
0,1,0,1,0,0,0,1,0,1,OTHER
0,0,0,0,0,0,1,1,0,0,RFE
0,0,0,0,0,0,0,1,1,0,REFACTORING
0,0,0,0,0,0,0,1,1,0,OTHER
0,0,0,1,0,0,1,0,0,0,IMPROVEMENT
0,0,0,0,0,0,0,1,1,0,REFACTORING
0,0,0,0,0,0,1,1,1,1,RFE
0,0,0,0,0,0,1,1,1,1,OTHER
0,0,0,1,0,0,1,1,0,0,IMPROVEMENT
0,0,1,0,0,0,0,1,0,0,IMPROVEMENT
0,1,0,0,0,0,1,1,0,1,RFE
0,1,0,0,0,0,0,1,1,0,IMPROVEMENT
0,0,1,0,0,0,0,1,0,1,OTHER
1,0,0,0,1,0,1,1,0,1,BUG
0,0,0,0,0,0,1,1,0,0,RFE
0,0,1,0,0,0,1,1,0,0,RFE
0,0,1,0,0,0,1,0,0,1,BUG
0,0,1,0,0,0,1,1,0,0,BUG
0,1,0,0,0,0,1,1,1,0,BUG
0,1,1,0,0,0,1,1,0,0,IMPROVEMENT
0,0,1,1,0,0,0,1,1,0,BUG
0,0,1,0,0,0,1,0,0,0,IMPROVEMENT
0,0,1,0,0,0,0,1,0,1,OTHER
0,0,0,1,0,0,0,1,0,0,RFE
0,1,1,0,0,0,1,1,1,1,BUG
1,0,0,0,0,0,0,0,0,1,IMPROVEMENT
1,0,0,0,0,0,1,1,0,0,OTHER
0,0,1,1,0,0,0,1,0,1,BUG
1,0,1,0,0,0,0,1,0,0,BUG
0,0,0,1,0,0,0,1,1,0,OTHER
0,0,1,0,0,0,0,1,0,1,IMPROVEMENT
0,0,1,0,0,0,0,1,0,0,IMPROVEMENT
0,0,0,1,0,0,0,1,1,1,BUG
1,0,0,0,0,0,0,1,0,0,DOCUMENTATION
0,0,1,1,0,0,0,1,1,0,IMPROVEMENT
0,0,1,0,0,1,0,1,0,0,IMPROVEMENT
0,0,1,0,0,0,0,1,0,0,IMPROVEMENT
0,0,1,1,0,0,0,1,0,1,IMPROVEMENT
0,0,0,1,0,0,1,1,0,1,BUG
0,0,1,1,0,0,1,1,1,0,BUG
0,0,1,0,0,0,0,0,0,1,BUG
0,0,0,0,0,0,1,1,0,0,OTHER
0,0,0,0,0,0,1,1,1,0,IMPROVEMENT
0,0,0,0,0,0,0,1,1,1,OTHER
0,0,0,0,0,0,1,1,0,0,BUG
0,0,1,0,0,0,0,1,0,0,IMPROVEMENT
0,0,1,0,1,0,1,0,0,0,BUG
0,0,1,1,0,0,0,1,1,0,IMPROVEMENT
0,0,1,1,0,0,0,1,1,0,IMPROVEMENT
1,0,0,0,0,1,1,0,0,0,BUG
0,0,0,0,0,0,1,1,0,0,IMPROVEMENT
0,1,0,0,0,0,0,0,0,0,BUG
0,0,1,0,0,0,0,1,0,1,REFACTORING
1,0,1,0,0,0,0,1,1,0,IMPROVEMENT
0,0,0,0,0,0,0,1,0,0,REFACTORING
0,0,0,0,0,0,0,1,1,1,OTHER
0,0,1,0,0,0,0,1,1,1,BUG
0,1,0,0,0,0,0,1,0,0,REFACTORING
0,0,1,0,0,0,0,1,0,0,BUG
0,1,0,0,0,1,1,0,0,0,BUG
0,1,0,0,0,0,1,1,0,0,RFE
1,0,0,0,0,0,0,1,0,0,RFE
0,0,1,0,1,1,0,0,0,1,BUG
0,0,0,0,0,0,1,1,0,1,IMPROVEMENT
0,0,0,0,0,0,1,1,0,0,OTHER
0,0,1,0,0,0,0,1,1,1,IMPROVEMENT
0,0,0,1,0,0,1,1,0,0,RFE
1,0,0,0,0,0,0,1,1,0,OTHER
0,0,1,0,1,0,1,0,0,0,BUG
0,0,0,0,0,0,0,1,1,0,RFE
0,0,0,1,0,1,0,1,0,0,BUG
0,0,0,0,0,1,0,0,0,0,BUG
0,0,0,0,0,0,1,1,0,1,BUG
0,1,1,0,0,0,1,1,1,0,RFE
0,0,0,0,0,0,1,1,1,0,BUG
0,0,0,0,0,0,1,1,0,1,IMPROVEMENT
0,1,1,0,0,0,0,1,0,0,IMPROVEMENT
0,0,0,0,0,0,0,1,0,1,REFACTORING
0,0,1,1,0,0,0,1,0,0,IMPROVEMENT
0,1,0,0,0,0,0,1,0,0,OTHER
0,0,0,0,0,0,1,1,1,0,RFE
0,0,1,0,1,0,0,1,0,0,BUG
0,0,1,1,0,0,0,1,0,1,BUG
0,0,1,0,0,0,0,1,0,1,OTHER
0,0,0,0,0,0,0,1,1,0,RFE
1,0,0,0,0,0,0,1,1,0,OTHER
0,0,0,1,0,0,0,1,1,0,RFE
0,0,1,0,0,0,1,1,0,1,OTHER
0,0,0,0,0,0,0,1,1,0,IMPROVEMENT
0,1,0,0,0,0,1,1,1,0,RFE
0,0,1,0,0,0,0,0,0,1,IMPROVEMENT
0,0,1,0,0,0,0,1,1,0,BUG
0,0,0,0,0,0,1,1,0,1,BUG
0,0,1,0,0,0,1,1,1,0,OTHER
0,0,0,0,0,0,1,1,1,0,RFE
0,0,0,0,1,1,1,0,0,1,BUG
0,0,0,0,0,0,1,1,0,1,OTHER
0,0,0,1,1,0,1,0,0,0,BUG
0,0,0,0,0,0,1,1,0,0,IMPROVEMENT
1,1,0,0,0,0,1,1,1,0,BUG
0,0,0,0,0,0,1,1,1,0,RFE
0,0,0,1,0,1,0,1,0,0,REFACTORING
0,0,1,1,0,0,1,1,0,1,BUG
0,0,0,0,0,0,1,1,0,1,RFE
0,0,0,0,1,0,1,1,0,1,BUG
0,1,0,0,1,0,1,1,0,1,BUG
1,0,0,0,0,1,0,1,0,0,OTHER
0,0,0,1,0,0,0,1,0,1,RFE
0,0,0,0,0,0,1,1,1,0,IMPROVEMENT
1,0,0,0,0,0,1,1,0,0,OTHER
1,0,1,0,0,0,0,1,0,0,DOCUMENTATION
1,0,0,0,0,0,0,1,0,0,IMPROVEMENT
0,0,0,0,0,0,0,1,1,0,IMPROVEMENT
0,0,0,0,0,1,0,1,0,1,BUG
0,0,0,0,0,0,0,1,1,0,RFE
0,0,0,1,0,0,0,1,0,0,RFE
1,0,0,0,0,0,0,1,0,0,DOCUMENTATION
0,0,0,0,0,0,0,1,0,1,OTHER
1,0,0,0,0,1,0,1,1,1,OTHER
1,0,0,0,0,0,0,1,0,0,OTHER
0,0,1,0,0,0,0,1,0,1,IMPROVEMENT
1,0,1,0,0,0,1,1,0,0,BUG
0,0,1,0,0,0,1,1,0,0,BUG
0,0,0,0,0,0,1,1,0,1,BUG
0,1,0,0,0,0,1,1,1,0,BUG
0,0,0,0,0,0,0,1,0,1,BUG
0,0,1,0,0,0,0,1,1,0,IMPROVEMENT
1,0,0,0,0,0,1,1,1,0,OTHER
0,0,1,0,0,0,0,0,1,0,BUG
0,0,1,1,0,0,0,1,0,1,IMPROVEMENT
0,0,1,0,0,0,1,1,0,0,IMPROVEMENT
0,0,0,0,0,0,0,1,0,1,BUG
0,0,0,0,0,0,1,1,1,1,IMPROVEMENT
0,0,1,0,0,0,0,1,0,0,IMPROVEMENT
1,0,1,1,0,0,0,1,1,0,BUG
0,0,0,0,0,0,1,1,0,1,RFE
0,0,1,0,0,0,0,0,0,1,IMPROVEMENT
0,1,0,0,0,0,1,1,0,1,BUG
0,0,0,0,0,0,0,1,0,1,RFE
0,0,1,1,0,0,0,0,0,1,IMPROVEMENT
0,0,0,0,0,0,1,1,1,0,RFE
0,0,0,0,0,0,0,1,1,0,IMPROVEMENT
1,0,0,0,0,0,1,1,0,0,RFE
0,0,1,0,0,0,1,1,0,0,BUG
1,1,0,0,0,0,1,1,0,1,BUG
1,0,0,0,0,0,1,0,1,0,BUG
0,0,1,0,1,1,0,0,0,0,BUG
0,0,0,0,0,0,0,1,1,0,IMPROVEMENT
0,1,0,0,0,0,1,1,0,0,RFE
1,0,0,0,0,0,0,1,0,0,DOCUMENTATION
0,0,1,0,0,0,1,0,0,1,BUG
1,0,0,0,0,0,0,1,1,0,OTHER
0,0,0,0,0,0,0,1,1,0,RFE
1,0,1,0,0,1,1,0,0,0,OTHER
1,0,1,1,0,0,0,1,1,0,OTHER
1,0,0,0,0,0,0,1,0,1,IMPROVEMENT
1,1,0,0,0,0,0,0,1,0,BUG
0,0,0,0,0,1,0,1,1,0,BUG
0,1,0,1,0,0,0,1,0,0,IMPROVEMENT
0,0,1,0,0,0,0,1,0,0,RFE
0,0,1,0,0,0,1,1,0,0,BUG
0,1,0,1,0,0,0,1,0,0,RFE
0,0,0,0,0,0,1,1,0,1,BUG
1,0,0,0,0,0,0,1,1,0,OTHER
1,0,0,0,0,1,0,1,0,0,OTHER
1,0,0,0,0,0,0,1,0,0,OTHER
0,0,0,0,0,0,1,1,0,1,BUG
0,0,0,0,0,0,0,1,0,1,BUG
0,0,1,0,0,0,0,0,1,0,IMPROVEMENT
0,1,1,0,0,0,0,0,0,0,IMPROVEMENT
1,0,0,0,1,0,1,0,0,0,BUG
0,0,1,0,0,0,0,1,0,0,IMPROVEMENT
1,0,0,0,0,0,0,1,0,0,OTHER
1,0,0,0,0,0,1,0,0,1,BUG
0,0,0,0,0,0,1,1,0,0,BUG
1,0,0,0,1,0,0,1,1,0,BUG
0,0,0,0,0,0,0,1,0,1,REFACTORING
0,0,1,0,0,0,0,1,0,1,IMPROVEMENT
0,0,0,0,1,0,0,1,0,1,BUG
0,0,1,0,0,0,0,0,0,1,BUG
0,0,0,0,0,0,0,1,0,1,BUG
1,0,1,1,0,1,0,0,0,1,IMPROVEMENT
0,0,0,0,0,0,1,1,1,0,IMPROVEMENT
0,1,0,0,0,0,1,0,0,1,BUG
0,1,0,1,0,0,0,1,0,0,OTHER
0,0,0,1,0,0,1,1,0,1,RFE
0,0,0,0,0,0,1,0,0,1,OTHER
0,1,1,0,0,0,0,1,1,0,RFE
1,0,1,0,0,0,1,1,0,0,OTHER
1,0,0,1,0,0,0,1,1,1,IMPROVEMENT
0,0,1,0,0,0,1,1,0,0,BUG
0,0,0,0,0,0,1,1,1,0,RFE
0,0,1,0,0,1,1,0,0,1,BUG
0,0,0,0,0,0,1,1,1,0,BUG
1,0,0,0,0,0,0,1,1,0,IMPROVEMENT
0,0,1,1,0,0,0,1,0,1,BUG
1,0,0,0,0,0,0,0,0,0,OTHER
1,0,0,0,0,0,0,1,0,0,IMPROVEMENT
1,0,0,0,0,0,0,1,0,0,OTHER
1,0,0,0,0,0,0,1,0,0,IMPROVEMENT
0,0,1,0,0,0,0,1,1,0,OTHER
1,0,0,1,0,0,0,1,0,0,DOCUMENTATION
0,1,0,0,0,1,0,1,1,1,BUG
1,0,0,0,0,0,0,0,0,1,IMPROVEMENT
0,0,0,0,0,0,1,0,1,0,BUG
1,0,0,0,0,0,0,1,1,0,OTHER
0,0,0,0,0,0,0,1,1,1,OTHER
0,1,1,1,0,0,0,1,1,1,BUG
0,0,0,0,0,0,1,1,0,1,BUG
1,1,0,0,0,1,0,1,0,0,BUG
0,0,0,1,0,0,0,1,1,0,IMPROVEMENT
1,0,0,0,0,0,0,1,0,0,RFE
0,0,0,0,0,0,1,0,1,1,BUG
1,0,0,0,0,0,1,1,0,1,RFE
1,0,0,0,0,0,0,1,0,0,RFE
0,0,0,0,0,0,1,1,0,1,OTHER
0,1,1,1,0,0,0,1,0,0,BUG
0,1,0,1,0,0,0,1,0,1,BUG
0,0,0,0,0,0,1,0,0,1,BUG
0,0,0,0,0,0,0,1,0,0,DOCUMENTATION
1,0,0,0,0,0,0,1,0,0,REFACTORING
0,0,0,1,0,0,1,1,0,0,OTHER
0,1,0,0,0,0,1,0,0,1,BUG
0,0,1,0,0,0,0,1,0,1,DOCUMENTATION
1,0,0,1,0,0,0,0,0,0,IMPROVEMENT
0,0,1,0,0,0,0,0,1,0,BUG
1,0,0,0,0,0,1,1,0,1,BUG
0,0,0,0,0,0,1,0,0,1,BUG
0,0,0,0,0,0,1,1,0,0,BUG
0,0,0,0,0,0,1,1,1,1,BUG
0,0,0,0,0,0,1,1,0,1,BUG
0,1,0,0,0,0,0,1,1,0,REFACTORING
0,1,1,1,0,0,0,1,0,1,BUG
0,0,0,0,0,0,0,1,1,0,BUG
0,0,0,0,0,0,1,1,0,0,BUG
0,0,0,0,0,0,1,0,1,0,BUG
0,0,0,0,0,0,1,1,1,0,RFE
0,0,0,0,0,0,1,0,1,0,BUG
1,0,1,0,0,0,0,1,0,1,IMPROVEMENT
0,0,1,0,0,0,0,1,0,1,RFE
1,0,0,1,0,0,0,1,0,0,OTHER
0,0,0,0,0,0,1,1,1,0,IMPROVEMENT
0,0,0,0,0,0,0,1,1,1,REFACTORING
0,1,1,0,0,0,1,0,1,0,BUG
0,0,0,0,0,0,1,1,0,1,IMPROVEMENT
0,0,0,0,0,0,1,1,1,0,OTHER
0,0,0,0,0,0,1,1,0,1,BUG
0,1,0,0,0,0,0,1,0,1,BUG
0,0,0,0,0,0,0,1,0,1,BUG
0,1,0,0,0,0,0,1,0,0,BUG
1,0,0,0,0,0,0,1,1,0,OTHER
0,0,1,0,0,0,1,1,0,1,IMPROVEMENT
0,0,0,1,0,0,1,1,0,1,BUG
1,0,0,1,0,0,0,1,0,0,OTHER
1,0,0,0,0,0,1,1,1,1,DOCUMENTATION
0,0,0,0,0,1,1,0,0,0,BUG
0,0,0,0,0,0,0,1,1,0,IMPROVEMENT
0,0,0,0,0,0,0,1,1,0,REFACTORING
0,0,1,0,0,0,1,1,0,0,RFE
1,0,0,1,0,0,0,1,0,0,RFE
1,0,0,0,0,0,1,0,1,0,IMPROVEMENT
1,0,0,1,0,0,0,1,0,1,BUG
0,0,0,0,0,0,0,1,0,1,BUG
0,1,1,0,0,1,1,1,0,0,IMPROVEMENT
0,0,0,0,0,0,1,0,0,0,IMPROVEMENT
0,0,0,0,0,0,1,1,0,0,BUG
0,1,0,1,0,0,0,1,0,0,IMPROVEMENT
0,0,0,0,0,0,1,1,0,0,IMPROVEMENT
0,0,0,0,0,0,1,1,0,1,BUG
1,0,0,0,0,0,1,1,0,1,IMPROVEMENT
0,0,0,0,0,0,0,1,1,1,RFE
1,0,0,1,0,0,0,1,1,0,RFE
0,0,0,0,0,0,1,1,0,1,BUG
0,0,1,0,0,0,1,1,1,0,RFE
0,0,0,0,0,0,1,1,0,1,RFE
0,0,0,0,0,0,1,1,0,1,RFE
1,0,1,1,1,0,0,0,0,1,BUG
1,0,0,0,0,0,0,1,0,0,OTHER
1,0,0,0,0,1,0,1,0,0,OTHER
0,0,1,0,0,0,1,0,0,0,BUG
0,0,0,0,0,0,1,1,0,0,IMPROVEMENT
0,0,0,1,0,0,1,1,1,0,BUG
0,0,0,0,0,0,1,0,0,0,IMPROVEMENT
1,0,0,0,0,0,1,1,1,0,BUG
0,0,0,0,0,0,1,1,0,0,BUG
0,0,0,0,0,0,1,0,0,1,IMPROVEMENT
1,0,0,0,0,0,1,1,0,1,BUG
0,1,0,0,0,0,1,1,0,0,BUG
1,0,0,0,0,0,0,1,0,0,BUG
0,0,1,0,0,0,1,0,0,1,BUG
0,0,0,0,0,0,1,0,0,0,BUG
0,0,1,1,0,0,0,1,0,1,IMPROVEMENT
1,0,0,0,0,0,1,0,0,1,BUG
0,0,1,0,0,0,1,1,0,0,RFE
0,1,0,1,0,0,1,1,1,1,OTHER
1,0,0,1,0,0,0,1,0,1,BUG
0,0,0,0,0,0,1,0,1,0,BUG
0,0,1,0,0,0,1,1,0,0,BUG
0,1,0,1,0,0,0,1,1,1,IMPROVEMENT
0,0,0,0,0,0,1,1,1,0,BUG
1,1,0,1,0,0,1,1,0,0,OTHER
0,0,0,0,0,0,1,0,0,1,BUG
0,1,0,0,0,0,1,0,1,0,BUG
0,0,0,0,0,0,1,1,0,0,BUG
0,0,0,0,0,0,1,1,1,0,BUG
0,0,0,0,0,0,1,0,1,0,RFE
0,0,0,0,0,0,1,0,1,0,BUG
0,1,0,1,0,0,1,0,0,1,BUG
1,0,0,0,0,0,0,1,0,0,DOCUMENTATION
1,1,0,0,0,1,0,1,1,0,BUG
0,0,1,0,0,0,1,1,0,0,BUG
1,0,0,0,0,0,0,1,1,0,REFACTORING
0,0,0,0,1,1,1,0,0,0,BUG
0,0,0,0,0,0,0,1,1,0,RFE
0,0,0,0,0,1,1,0,1,0,BUG
0,0,1,1,0,0,0,1,0,0,IMPROVEMENT
0,0,1,0,0,0,0,1,0,0,RFE
1,0,0,1,0,0,0,1,0,0,REFACTORING
0,0,1,0,0,0,0,1,0,0,BUG
1,0,0,0,0,1,0,1,0,0,OTHER
0,0,0,1,0,1,0,1,0,0,BUG
1,1,0,0,0,0,1,0,1,0,BUG
1,0,1,0,0,0,1,1,0,0,IMPROVEMENT
0,0,0,0,0,0,1,1,0,0,BUG
0,0,1,0,0,0,0,1,0,1,IMPROVEMENT
0,0,0,0,0,0,1,1,1,0,BUG
0,0,1,0,0,0,1,1,0,1,IMPROVEMENT
0,1,1,0,0,0,0,1,0,1,IMPROVEMENT
0,0,0,0,0,0,1,1,0,1,BUG
0,0,0,0,0,0,1,0,0,1,BUG
0,0,0,1,0,0,1,0,0,0,BUG
0,0,0,0,1,0,1,1,1,1,IMPROVEMENT
0,0,0,0,1,0,1,1,0,0,BUG
1,0,0,1,0,0,0,1,0,0,DOCUMENTATION
1,0,0,0,0,0,0,1,0,0,DOCUMENTATION
1,0,0,1,0,0,1,1,0,0,RFE
0,0,1,0,0,0,0,1,0,1,RFE
1,0,0,1,0,0,1,1,0,1,IMPROVEMENT
0,0,0,0,1,0,0,1,0,1,BUG
0,1,0,0,0,0,0,1,0,1,IMPROVEMENT
1,0,0,0,0,0,0,1,1,1,OTHER
0,0,0,0,0,0,1,0,0,0,BUG
0,0,1,0,0,0,1,1,0,0,RFE
0,0,0,0,0,0,1,1,1,0,BUG
1,0,0,0,0,0,0,0,0,0,BUG
