CLASSIFY,TOPIC0,TOPIC1,TOPIC2,TOPIC3,TOPIC4,TOPIC5,TOPIC6,TOPIC7,TOPIC8,TOPIC9
FEATURE,0,1,0,0,0,1,1,0,0,0
FEATURE,1,1,0,0,0,0,0,0,0,0
BUG,0,1,0,1,0,0,0,0,1,0
FEATURE,0,1,0,0,0,0,0,1,0,1
FEATURE,0,1,0,0,0,1,0,1,1,0
BUG,0,1,1,1,0,1,0,1,0,0
FEATURE,0,1,0,0,0,0,0,1,0,1
FEATURE,1,1,0,0,0,0,0,1,0,0
BUG,1,1,0,0,0,0,0,0,0,0
BUG,0,1,0,0,1,0,0,0,1,0
FEATURE,1,1,0,0,0,0,0,1,0,1
FEATURE,1,1,1,0,0,1,0,0,0,0
FEATURE,1,1,0,0,0,1,0,0,1,0
BUG,0,1,0,0,0,0,1,0,1,0
BUG,0,1,0,0,1,0,0,0,0,0
BUG,0,1,0,0,1,0,0,0,0,0
FEATURE,0,1,0,0,0,1,0,0,0,0
FEATURE,0,1,0,0,0,1,0,0,1,0
FEATURE,0,1,0,0,0,1,1,0,1,0
FEATURE,1,1,0,0,0,0,0,0,0,0
FEATURE,0,1,0,0,0,1,1,0,0,0
FEATURE,1,1,0,0,0,0,0,0,1,0
BUG,0,1,0,1,0,0,0,0,0,0
FEATURE,0,1,0,1,0,1,0,0,0,0
FEATURE,0,1,0,1,0,1,0,0,0,1
FEATURE,0,1,0,0,0,1,0,0,1,0
BUG,0,1,0,1,0,0,0,0,0,0
FEATURE,0,0,0,1,0,0,0,1,0,0
FEATURE,0,1,0,0,0,1,0,1,0,0
FEATURE,0,1,0,0,0,1,0,1,1,0
BUG,1,1,0,0,1,0,0,1,0,0
FEATURE,1,1,0,0,0,1,0,0,0,0
FEATURE,0,1,0,0,0,1,1,0,0,0
FEATURE,0,1,0,1,1,0,0,0,0,0
FEATURE,1,1,0,0,0,0,1,0,0,0
BUG,1,1,0,0,0,0,0,0,0,0
FEATURE,0,1,0,0,0,1,0,0,0,0
BUG,0,0,1,0,1,0,0,1,1,0
FEATURE,0,1,0,0,0,1,0,0,0,0
FEATURE,0,1,0,0,0,1,0,0,1,0
BUG,1,1,1,0,0,1,0,0,0,0
FEATURE,1,1,0,0,0,1,0,0,0,0
BUG,0,1,0,0,0,0,0,0,1,0
FEATURE,1,1,0,0,0,0,0,0,0,0
FEATURE,0,1,0,0,0,0,0,0,0,0
FEATURE,0,1,0,0,0,1,0,1,1,0
BUG,0,1,0,1,0,0,0,0,0,0
FEATURE,1,1,0,0,0,1,0,0,0,0
BUG,1,1,0,0,0,0,0,0,0,0
BUG,0,1,0,0,0,0,1,0,0,0
BUG,0,1,0,0,1,0,1,0,0,0
FEATURE,0,1,0,0,0,1,0,1,0,0
FEATURE,1,1,1,0,0,1,0,1,0,0
FEATURE,1,1,0,1,0,0,0,0,0,1
BUG,0,0,0,0,1,0,0,0,0,0
FEATURE,1,1,0,0,0,1,0,0,1,0
FEATURE,0,1,0,0,0,0,1,0,0,0
FEATURE,0,1,0,0,0,0,0,1,0,0
FEATURE,1,1,0,0,0,0,0,1,0,0
FEATURE,0,1,0,0,0,1,1,0,1,0
FEATURE,0,1,0,1,0,0,0,0,1,0
BUG,0,1,0,1,0,0,1,0,0,0
BUG,1,1,0,0,0,0,0,0,1,0
FEATURE,0,1,0,0,0,1,0,0,1,0
FEATURE,1,1,1,0,1,0,0,0,0,0
FEATURE,0,1,0,1,0,1,0,0,0,0
BUG,0,1,0,0,0,1,1,0,0,0
FEATURE,0,1,0,0,0,1,1,0,0,0
BUG,1,1,0,0,0,0,0,0,0,0
FEATURE,0,1,1,0,0,0,1,0,1,0
BUG,1,1,0,0,1,0,0,0,0,0
FEATURE,0,1,0,1,0,1,0,0,0,0
FEATURE,0,1,0,1,0,0,1,0,1,1
BUG,0,1,0,1,0,0,1,0,0,0
BUG,1,1,0,0,0,0,0,1,1,0
BUG,0,1,0,1,0,0,0,0,0,0
FEATURE,0,1,0,1,0,0,1,0,1,0
FEATURE,0,1,0,1,0,0,0,0,0,0
BUG,1,1,0,1,0,0,0,0,0,1
FEATURE,1,1,0,1,0,1,0,0,0,0
FEATURE,0,1,1,0,0,1,0,0,0,0
BUG,0,1,0,1,0,0,1,0,0,0
BUG,1,1,0,0,0,1,0,0,0,0
BUG,1,1,0,0,1,0,1,0,0,0
FEATURE,0,1,1,0,0,0,0,0,0,0
FEATURE,0,1,0,0,0,1,0,0,1,0
BUG,0,1,0,0,0,0,1,0,0,0
FEATURE,1,1,0,0,0,1,0,1,1,0
BUG,0,1,0,0,0,0,1,0,0,0
BUG,1,1,0,0,1,0,1,0,0,0
BUG,0,1,0,1,0,1,1,0,0,1
FEATURE,0,1,0,0,0,0,0,1,1,0
BUG,1,1,0,0,1,1,1,0,1,0
BUG,1,1,0,0,0,0,0,0,0,0
FEATURE,0,1,0,0,1,1,1,0,0,0
BUG,0,1,0,0,0,0,1,1,1,0
FEATURE,0,1,0,0,0,1,0,1,0,0
FEATURE,0,1,0,0,1,0,0,0,1,0
FEATURE,0,1,0,1,0,1,0,1,0,0
FEATURE,0,1,0,1,0,1,0,0,0,0
FEATURE,1,1,0,0,0,1,0,0,0,0
FEATURE,0,1,0,0,0,1,1,1,0,0
FEATURE,0,1,0,1,0,1,0,0,0,0
FEATURE,1,1,0,0,0,1,0,0,0,0
BUG,0,1,0,0,0,1,1,0,0,0
BUG,1,1,0,0,0,1,0,0,0,1
FEATURE,0,1,0,0,0,0,0,1,0,0
FEATURE,0,1,0,0,0,0,0,1,0,0
BUG,1,1,0,0,0,0,0,0,0,0
BUG,0,1,0,0,0,1,1,0,0,0
BUG,1,1,0,0,0,1,0,0,0,0
FEATURE,0,1,0,1,0,0,0,1,0,0
BUG,0,1,0,1,0,0,0,0,1,0
FEATURE,0,1,0,0,0,1,0,1,0,0
FEATURE,0,1,0,0,0,0,1,1,0,1
FEATURE,1,1,0,1,0,1,0,0,0,0
BUG,0,1,0,1,0,0,1,0,1,0
FEATURE,0,1,0,0,0,1,0,1,0,0
FEATURE,0,1,0,0,0,1,0,0,0,0
FEATURE,0,1,0,1,0,1,0,0,0,0
BUG,1,1,0,0,0,0,0,0,0,0
BUG,0,1,0,1,0,1,1,0,0,0
FEATURE,1,1,0,0,0,1,0,0,0,0
FEATURE,0,1,0,1,0,0,1,0,0,0
BUG,0,1,1,1,0,0,0,0,0,0
FEATURE,0,1,0,1,0,1,0,0,0,0
BUG,0,1,0,1,0,0,1,0,0,0
FEATURE,0,1,0,0,0,0,0,1,0,0
FEATURE,0,1,0,0,0,0,0,1,0,0
FEATURE,0,1,0,0,0,0,1,1,0,1
FEATURE,0,1,0,0,0,1,0,0,1,0
FEATURE,0,1,1,0,0,1,0,1,0,0
FEATURE,0,1,0,0,0,1,0,1,0,1
FEATURE,0,1,0,0,0,0,1,1,0,0
BUG,0,1,0,0,0,1,1,0,0,0
FEATURE,0,1,0,1,0,1,0,0,0,0
FEATURE,1,1,0,0,1,0,1,0,0,0
FEATURE,0,1,0,1,0,1,0,0,0,0
FEATURE,0,1,0,0,0,1,0,1,0,1
FEATURE,0,1,0,0,0,1,0,0,0,0
FEATURE,0,1,0,0,0,1,0,1,0,0
FEATURE,0,1,0,0,0,1,0,0,0,1
FEATURE,1,1,1,0,0,1,0,0,1,0
BUG,1,1,0,0,0,0,0,0,1,0
FEATURE,1,1,0,1,0,1,0,0,0,0
FEATURE,0,1,0,0,0,1,1,1,0,0
FEATURE,0,1,0,1,0,1,0,0,0,0
BUG,0,1,0,0,1,0,1,1,1,0
FEATURE,0,1,0,0,0,0,0,0,1,1
FEATURE,0,1,0,0,0,1,0,1,1,0
BUG,0,1,0,1,0,0,0,0,1,0
FEATURE,0,1,1,0,0,1,0,0,0,0
BUG,0,1,0,0,0,0,1,1,0,0
FEATURE,1,1,0,0,0,1,0,0,1,0
FEATURE,0,0,0,0,0,1,0,1,0,1
BUG,0,1,0,0,0,0,0,0,1,0
BUG,0,1,0,0,0,0,1,0,0,0
FEATURE,0,1,0,1,0,1,1,0,0,0
FEATURE,1,1,0,1,1,1,1,0,0,0
BUG,0,1,0,0,0,0,1,0,0,0
FEATURE,0,1,1,0,0,1,0,0,0,0
BUG,1,1,0,0,0,1,0,0,0,0
FEATURE,1,1,0,0,0,0,1,1,0,0
FEATURE,1,1,0,0,0,1,0,0,0,0
BUG,0,1,0,0,0,0,0,1,1,0
BUG,0,1,1,0,0,0,1,0,0,0
BUG,0,1,0,1,0,0,1,0,0,0
FEATURE,0,1,0,0,0,0,0,0,1,0
BUG,0,1,1,1,0,1,0,1,0,0
FEATURE,0,1,1,0,0,1,0,0,0,0
FEATURE,0,1,0,1,0,1,0,0,0,0
FEATURE,0,1,1,0,0,0,0,0,0,0
BUG,0,1,0,1,0,0,0,0,0,0
FEATURE,0,1,0,0,1,0,0,1,0,0
BUG,0,1,0,1,0,0,0,0,0,0
BUG,0,1,1,0,0,1,0,0,0,0
BUG,0,1,0,0,1,0,1,0,1,0
FEATURE,1,1,0,1,0,1,0,0,0,0
BUG,0,1,0,0,0,1,1,1,1,0
BUG,1,0,0,0,1,0,0,0,0,0
FEATURE,0,1,1,0,0,1,1,0,0,0
FEATURE,1,1,1,0,0,0,0,0,0,0
BUG,0,1,0,1,0,0,0,0,0,0
FEATURE,0,1,0,0,0,0,0,1,1,0
BUG,1,1,0,0,0,1,0,0,0,0
BUG,0,1,0,0,0,1,0,0,1,0
FEATURE,0,1,0,0,0,1,0,0,0,0
BUG,1,1,1,0,0,0,0,0,0,0
FEATURE,1,1,0,0,0,1,0,0,0,0
FEATURE,0,1,0,1,0,1,0,0,0,0
FEATURE,0,1,1,0,0,0,0,0,0,0
FEATURE,1,1,1,0,0,1,0,0,1,0
FEATURE,1,1,0,1,0,1,0,0,0,0
FEATURE,0,1,0,0,0,0,0,0,1,0
FEATURE,0,1,0,0,0,0,0,0,1,0
BUG,0,1,1,1,0,0,0,0,0,0
FEATURE,1,1,0,0,0,1,1,0,0,0
FEATURE,0,1,0,0,0,1,0,1,1,0
FEATURE,0,1,0,0,0,1,0,0,1,0
FEATURE,0,1,1,0,0,0,0,1,1,0
FEATURE,0,1,0,0,0,0,0,1,0,0
BUG,0,1,0,0,1,0,1,0,0,1
BUG,0,1,0,1,1,0,0,0,0,0
FEATURE,0,1,0,0,0,1,1,0,0,0
FEATURE,0,1,0,0,0,0,0,0,1,0
BUG,0,1,0,0,0,0,0,0,1,0
FEATURE,0,1,0,0,0,1,1,0,0,0
FEATURE,0,1,0,0,0,1,1,0,0,0
FEATURE,0,1,1,0,0,1,0,0,0,0
FEATURE,0,0,1,0,0,1,0,0,0,0
FEATURE,0,1,1,0,0,0,1,0,0,0
FEATURE,0,1,0,0,0,1,0,1,1,0
FEATURE,0,1,1,0,0,1,1,1,0,0
FEATURE,1,1,0,0,0,0,0,0,0,0
FEATURE,0,1,0,0,0,1,1,1,0,0
FEATURE,0,1,0,1,0,0,0,0,0,0
FEATURE,0,1,1,0,0,0,0,0,0,0
FEATURE,1,1,1,0,0,1,0,0,0,0
FEATURE,0,1,0,0,0,0,0,1,0,0
BUG,0,1,1,0,0,0,1,0,0,0
BUG,0,1,1,1,0,1,0,0,0,0
FEATURE,0,1,0,0,0,0,0,1,0,0
BUG,0,1,0,1,0,1,0,0,0,0
FEATURE,1,1,0,1,0,0,0,0,0,0
BUG,0,1,0,1,0,0,0,0,0,0
FEATURE,1,1,0,1,0,1,0,0,0,0
FEATURE,1,1,0,0,0,0,0,1,0,0
FEATURE,1,1,0,0,0,0,0,1,0,0
BUG,1,1,0,0,0,0,0,1,0,0
FEATURE,0,1,0,1,0,1,1,0,0,0
FEATURE,0,1,0,0,0,0,0,1,1,0
BUG,0,1,0,0,0,0,1,0,0,0
BUG,1,1,0,0,0,0,0,0,0,0
BUG,0,1,0,1,0,1,0,0,0,1
BUG,0,1,0,0,0,0,1,0,0,0
BUG,0,1,0,1,0,0,1,0,0,1
BUG,1,1,0,0,0,1,0,0,0,0
FEATURE,0,1,0,0,0,0,0,1,0,0
FEATURE,0,1,1,0,0,1,1,0,0,0
BUG,0,1,0,1,0,0,1,0,1,0
FEATURE,0,1,0,0,0,1,1,1,0,0
BUG,0,1,1,0,0,0,1,0,0,0
BUG,0,1,0,0,1,0,0,0,1,0
BUG,0,1,0,0,0,1,1,0,0,0
BUG,0,1,1,0,0,0,0,1,0,0
FEATURE,1,1,0,0,0,1,0,0,0,0
FEATURE,0,1,0,0,0,0,0,1,0,0
BUG,1,1,0,1,0,1,0,0,0,0
FEATURE,0,1,0,0,0,0,0,1,0,0
BUG,0,1,0,0,0,0,0,0,0,0
FEATURE,1,1,0,0,0,0,0,0,1,0
BUG,1,1,0,0,0,1,0,0,1,0
FEATURE,0,1,0,0,0,0,0,1,0,0
BUG,0,1,0,1,1,0,0,0,1,0
BUG,0,1,0,1,1,0,0,0,0,0
FEATURE,0,1,0,0,0,1,1,0,0,0
BUG,1,1,0,0,0,0,0,0,0,0
BUG,0,1,0,0,0,1,1,0,0,0
FEATURE,0,1,0,0,0,0,0,0,1,0
FEATURE,1,1,0,0,0,0,0,0,0,0
BUG,0,1,0,0,0,0,0,1,1,0
FEATURE,0,1,0,0,0,1,1,0,0,0
FEATURE,0,1,1,0,0,1,0,1,0,0
FEATURE,0,1,0,1,0,1,0,0,0,0
FEATURE,0,1,0,0,0,1,1,0,0,0
FEATURE,0,1,0,0,0,0,0,0,0,1
FEATURE,0,1,0,0,1,1,0,1,0,1
BUG,0,1,0,1,0,0,0,0,1,0
BUG,0,1,0,0,0,1,0,0,1,0
BUG,0,1,0,1,1,0,0,0,0,0
BUG,0,1,0,0,0,0,0,1,1,0
FEATURE,0,0,0,0,0,1,0,1,0,0
BUG,0,1,0,0,1,0,0,0,0,1
BUG,0,1,1,0,0,0,0,0,0,0
BUG,1,1,1,0,0,0,0,0,0,0
BUG,0,1,0,1,0,1,0,0,0,0
BUG,0,1,0,0,0,0,1,0,1,0
FEATURE,1,1,1,0,0,0,0,1,0,1
BUG,0,0,0,0,0,1,1,1,0,0
FEATURE,0,1,0,0,0,0,1,0,1,0
FEATURE,0,1,1,0,0,1,1,0,0,0
BUG,0,1,0,1,0,0,1,1,0,0
FEATURE,1,1,0,0,0,0,0,0,1,0
FEATURE,0,1,1,0,0,0,1,0,0,0
FEATURE,0,1,1,0,0,1,0,0,0,0
FEATURE,0,1,0,0,0,0,0,1,1,0
FEATURE,0,1,0,0,0,0,1,1,0,0
FEATURE,1,1,0,0,0,1,0,1,0,0
FEATURE,1,1,0,0,0,0,0,1,0,0
FEATURE,0,1,1,0,0,1,0,0,0,0
BUG,0,1,0,0,0,1,1,0,0,0
FEATURE,0,1,1,0,0,1,0,1,0,0
BUG,1,1,0,0,0,0,0,0,0,0
FEATURE,0,1,1,0,0,1,0,0,0,0
FEATURE,0,1,0,1,0,1,0,0,0,0
FEATURE,0,1,1,0,0,0,0,1,0,1
FEATURE,0,1,1,0,0,0,0,0,0,0
BUG,0,1,1,0,0,1,0,0,0,0
FEATURE,1,1,0,1,0,1,0,0,0,0
BUG,0,1,0,0,0,1,1,0,0,0
FEATURE,0,1,0,1,0,1,0,0,0,0
BUG,1,1,0,0,0,1,0,1,0,0
BUG,1,1,0,0,0,1,1,0,0,0
FEATURE,0,1,0,1,0,0,1,0,1,0
BUG,0,1,1,1,0,0,0,1,0,0
BUG,1,1,0,0,0,0,0,0,1,0
FEATURE,1,1,0,0,0,0,0,1,0,0
BUG,0,1,0,0,1,0,0,0,1,0
BUG,0,1,1,0,0,1,1,0,0,0
BUG,1,1,0,0,0,1,0,0,0,0
FEATURE,0,1,0,0,0,1,0,0,0,1
BUG,1,1,0,0,0,0,0,0,0,0
FEATURE,0,1,0,0,0,0,1,1,0,0
BUG,1,1,1,1,0,0,0,0,0,0
BUG,1,1,0,0,0,0,0,0,0,0
BUG,0,1,0,0,0,0,1,0,0,0
BUG,1,1,1,0,0,0,0,0,0,0
BUG,0,1,0,0,0,1,0,0,1,0
BUG,1,1,0,1,0,0,0,1,0,0
FEATURE,1,0,1,0,0,0,0,0,0,0
BUG,0,1,0,0,0,0,0,0,1,0
FEATURE,0,1,1,0,0,0,0,0,1,0
FEATURE,0,1,1,0,0,0,0,1,0,1
BUG,0,1,0,0,0,0,0,1,0,1
BUG,0,1,1,0,0,0,0,0,0,0
BUG,0,1,1,1,0,1,0,0,0,0
BUG,0,0,1,0,0,0,0,0,0,0
FEATURE,0,1,0,0,0,1,0,1,0,1
BUG,0,1,0,1,1,0,1,0,0,0
FEATURE,0,1,0,0,0,1,0,0,0,0
BUG,0,1,0,1,0,1,0,0,1,0
FEATURE,0,1,1,0,0,0,0,1,0,0
BUG,0,1,0,0,0,1,0,0,1,1
FEATURE,0,1,1,0,0,0,0,0,0,0
FEATURE,0,1,0,0,0,1,0,0,0,0
FEATURE,1,1,0,1,0,0,0,1,0,0
FEATURE,0,1,0,0,0,0,0,0,0,1
FEATURE,0,0,0,0,0,0,0,1,0,1
BUG,0,1,0,0,0,1,0,0,1,0
BUG,1,1,0,0,0,0,0,0,0,0
FEATURE,0,1,0,1,0,0,0,1,0,0
FEATURE,0,1,0,0,0,1,1,1,0,0
FEATURE,0,1,0,0,0,1,1,0,0,0
FEATURE,0,1,0,0,0,1,1,0,0,0
BUG,0,1,0,0,0,0,0,0,1,0
FEATURE,0,1,0,0,0,1,1,0,0,0
FEATURE,0,1,1,1,0,1,1,0,0,0
FEATURE,0,1,0,0,0,0,0,0,1,0
BUG,0,1,1,0,0,1,0,0,0,0
FEATURE,0,1,1,0,0,1,0,0,0,0
BUG,1,1,0,0,0,1,0,0,0,0
FEATURE,0,1,0,0,0,1,1,0,0,0
FEATURE,0,1,0,0,0,0,0,1,0,0
BUG,1,1,0,0,1,1,0,0,0,0
BUG,0,1,0,0,0,1,0,0,1,0
BUG,1,1,1,1,0,0,0,0,0,0
BUG,0,1,0,0,1,0,0,1,1,0
FEATURE,0,1,1,0,0,0,0,1,0,0
FEATURE,0,1,0,1,0,1,0,0,0,0
BUG,1,1,0,0,0,0,1,0,1,1
BUG,0,1,0,0,1,0,0,0,1,0
BUG,0,1,0,1,0,0,1,1,0,0
BUG,0,0,0,0,0,0,1,1,0,0
FEATURE,1,1,0,0,0,0,0,0,0,0
FEATURE,1,1,0,1,0,1,0,0,0,0
BUG,0,1,1,0,0,0,0,1,0,0
BUG,0,1,0,0,0,1,1,0,0,0
BUG,0,1,0,0,0,1,1,0,0,0
BUG,0,1,0,1,0,1,1,0,0,0
FEATURE,0,1,0,0,0,1,0,1,0,1
BUG,1,1,0,1,0,0,0,0,0,1
FEATURE,0,1,0,0,0,1,1,0,1,0
FEATURE,0,1,0,0,0,0,0,1,0,0
FEATURE,0,1,0,0,0,1,1,0,0,0
BUG,1,1,0,0,0,1,1,0,1,0
BUG,1,1,0,0,0,0,1,1,0,0
FEATURE,0,1,1,0,0,0,1,0,0,0
BUG,0,1,1,1,0,0,0,0,1,0
BUG,1,1,0,0,1,1,1,0,1,0
BUG,0,1,1,0,0,0,0,1,0,0
FEATURE,0,1,0,0,0,1,0,0,0,0
BUG,0,1,1,0,0,1,0,0,0,0
BUG,0,1,0,0,0,1,0,0,1,0
FEATURE,1,1,1,0,0,0,0,0,0,0
FEATURE,0,0,1,0,0,0,0,0,0,0
FEATURE,0,1,0,0,0,1,0,1,0,0
BUG,0,1,1,0,0,0,0,0,0,0
FEATURE,0,1,1,0,0,1,0,0,0,0
FEATURE,0,1,1,0,0,0,0,0,0,0
BUG,0,1,0,0,0,1,1,0,1,0
FEATURE,1,1,0,0,0,1,0,1,0,0
FEATURE,0,1,0,0,0,1,0,0,0,0
BUG,1,1,0,0,0,0,1,0,1,0
BUG,1,1,0,1,0,0,0,0,0,0
BUG,0,1,0,0,0,1,1,0,0,0
FEATURE,0,1,0,0,0,1,0,0,1,0
BUG,0,1,0,1,0,0,0,0,0,0
BUG,0,1,0,0,0,1,1,0,0,0
FEATURE,0,1,1,0,0,1,0,0,0,0
BUG,0,1,0,0,1,0,1,0,0,0
FEATURE,0,1,1,0,0,1,1,0,0,0
FEATURE,0,1,0,0,0,1,1,0,0,0
FEATURE,0,1,0,0,0,0,0,0,1,0
BUG,1,1,0,0,0,0,0,0,0,0
BUG,1,1,0,0,0,0,0,0,0,0
BUG,1,1,0,0,0,0,0,1,0,1
FEATURE,0,1,0,1,0,0,0,0,0,0
BUG,0,1,0,0,0,0,1,0,0,0
FEATURE,0,1,1,0,0,1,1,0,0,0
FEATURE,0,1,0,1,0,1,0,0,0,0
FEATURE,0,1,0,0,0,0,0,1,0,0
BUG,0,1,0,0,1,1,1,0,0,0
FEATURE,0,1,1,0,0,1,0,0,0,0
FEATURE,0,1,1,0,0,1,0,1,0,0
BUG,1,1,1,0,0,0,0,0,0,0
FEATURE,0,1,1,0,0,1,0,0,0,0
BUG,0,1,0,0,1,0,0,1,0,0
FEATURE,0,1,1,0,0,1,0,0,0,0
BUG,1,1,1,0,0,1,0,0,0,0
FEATURE,0,1,0,0,0,0,0,1,0,0
FEATURE,0,1,0,0,0,0,0,1,0,0
FEATURE,0,1,0,0,1,1,0,1,0,0
BUG,1,1,0,0,0,1,1,0,0,0
FEATURE,1,1,1,0,0,1,0,0,0,0
BUG,0,1,0,0,1,0,0,0,0,0
BUG,0,1,0,0,0,1,1,0,1,0
BUG,1,1,0,0,0,1,0,0,1,0
BUG,1,1,0,0,0,1,1,0,0,0
FEATURE,0,1,0,0,0,1,1,0,0,0
FEATURE,0,1,0,0,0,1,1,0,0,0
FEATURE,0,1,0,0,0,0,0,1,0,1
FEATURE,0,1,1,0,0,1,0,0,0,0
BUG,0,1,1,0,0,1,0,0,0,0
FEATURE,1,1,0,0,0,1,0,0,0,0
FEATURE,0,1,1,1,0,1,1,0,0,0
BUG,0,1,0,0,0,1,1,0,0,0
BUG,1,1,0,0,0,0,0,0,0,0
BUG,1,1,0,0,0,1,0,0,0,0
FEATURE,1,1,0,0,0,1,0,1,0,0
BUG,1,1,0,1,1,0,0,0,0,0
FEATURE,0,1,0,0,0,1,0,1,0,0
BUG,0,1,0,1,1,0,0,0,0,0
FEATURE,0,1,0,0,0,0,1,1,0,1
BUG,0,1,0,0,0,1,0,1,1,0
BUG,1,1,0,1,0,0,1,1,0,0
FEATURE,0,1,0,0,0,1,0,0,0,0
BUG,1,1,0,1,0,0,0,0,0,0
BUG,1,1,0,0,0,1,0,0,0,0
FEATURE,1,1,0,0,0,0,1,0,0,1
FEATURE,0,1,0,0,0,1,0,0,0,0
FEATURE,1,1,0,0,0,1,1,0,0,1
BUG,0,1,0,1,0,0,1,0,0,0
FEATURE,0,1,0,0,0,1,0,0,0,0
FEATURE,0,1,0,0,0,1,0,0,0,0
BUG,0,1,0,0,0,0,1,0,0,0
FEATURE,0,1,0,0,0,1,0,1,0,0
BUG,0,1,1,0,0,0,0,0,0,0
BUG,1,1,0,1,1,0,0,0,0,0
FEATURE,0,1,1,0,0,1,0,0,0,0
BUG,0,1,0,0,0,0,1,0,1,0
FEATURE,0,1,1,0,0,0,0,0,0,0
FEATURE,0,1,0,0,0,1,0,1,0,1
FEATURE,0,1,1,0,0,0,0,0,0,0
FEATURE,1,1,1,0,0,0,0,0,0,0
BUG,0,0,0,1,0,0,1,1,0,0
BUG,0,1,0,1,0,1,0,1,0,0
FEATURE,0,1,0,0,0,0,0,0,1,0
BUG,0,0,1,0,0,0,0,0,0,0
BUG,0,1,1,0,0,0,0,0,0,0
FEATURE,0,1,1,0,0,0,0,0,0,0
FEATURE,0,1,1,0,0,0,1,0,0,0
BUG,1,1,0,0,0,1,0,0,0,0
BUG,1,1,1,0,0,1,1,0,0,0
FEATURE,0,1,0,0,0,0,1,1,0,0
FEATURE,0,1,0,0,0,1,1,0,0,0
BUG,0,1,0,0,1,0,1,0,0,0
FEATURE,1,1,0,0,0,1,0,0,0,0
